Institution name,FTE of submitted staff,GPA,search_name,alt_name,editors,Allied Academies,American Psychological Association,American Society of Civil Engineers,BioMedCentral,Cambridge University Press,eLife,Elsevier,Emerald,Frontiers,Hindawi,IGI Global,iMedPub,Inderscience,John Benjamins,Karger,Longdom,MDPI,PeerJ,Pleiades,PLOS,SAGE,SCIRP,Brill,Springer Nature,Royal Society of Chemistry,SciTechnol,All
The Royal Central School of Speech and Drama,30.5,3.6700000000000004,Royal Central School of Speech and Drama,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Imperial College of Science, Technology and Medicine",1549.86,3.66,"Imperial College of Science, Technology and Medicine",Imperial College,308.0,0.0,0.0,3.0,47.0,22.0,3.0,308.0,3.0,633.0,25.0,8.0,0.0,19.0,1.0,8.0,11.0,21.0,8.0,4.0,42.0,112.0,3.0,1.0,17.0,32.0,3.0,1334.0
Institute of Cancer Research: Royal Cancer Hospital (The),102.4,3.63,Institute of Cancer Research: Royal Cancer Hospital (The),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
London Business School,106.45,3.6199999999999997,London Business School,,28.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,52.0
University of Cambridge,2846.87,3.5399999999999996,University of Cambridge,,293.0,0.0,5.0,0.0,48.0,190.0,7.0,293.0,19.0,616.0,3.0,3.0,2.0,22.0,8.0,8.0,3.0,10.0,8.0,0.0,49.0,164.0,3.0,41.0,19.0,29.0,3.0,1553.0
University of Oxford,3404.62,3.5,University of Oxford,,328.0,0.0,5.0,0.0,44.0,159.0,10.0,328.0,12.0,756.0,11.0,6.0,4.0,16.0,5.0,9.0,7.0,19.0,8.0,5.0,47.0,229.0,3.0,61.0,12.0,18.0,0.0,1774.0
The London School of Economics and Political Science,650.56,3.4800000000000004,London School of Economics and Political Science,LSE,102.0,0.0,1.0,0.0,2.0,46.0,0.0,102.0,4.0,34.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,81.0,0.0,9.0,0.0,0.0,0.0,289.0
The University of Manchester,2123.84,3.4799999999999995,University of Manchester,,253.0,0.0,9.0,2.0,27.0,60.0,0.0,253.0,52.0,433.0,16.0,9.0,1.0,33.0,6.0,4.0,6.0,9.0,5.0,2.0,6.0,186.0,4.0,15.0,6.0,18.0,6.0,1168.0
University of York,945.99,3.4799999999999995,University of York,,68.0,0.0,2.0,0.0,13.0,37.0,0.0,68.0,14.0,141.0,2.0,12.0,0.0,14.0,8.0,2.0,1.0,9.0,2.0,0.0,7.0,69.0,3.0,7.0,1.0,6.0,0.0,418.0
King's College London,1883.12,3.4600000000000004,King's College London,KCL,200.0,0.0,4.0,0.0,36.0,32.0,2.0,200.0,17.0,664.0,15.0,1.0,0.0,8.0,0.0,6.0,1.0,8.0,6.0,0.0,26.0,107.0,4.0,9.0,2.0,5.0,0.0,1153.0
University of Glasgow,1377.69,3.455,University of Glasgow,,132.0,1.0,3.0,0.0,19.0,33.0,0.0,132.0,35.0,386.0,6.0,8.0,0.0,9.0,3.0,5.0,5.0,9.0,3.0,0.0,20.0,156.0,0.0,5.0,2.0,12.0,0.0,852.0
University of Bristol,1493.85,3.45,University of Bristol,,123.0,0.0,2.0,0.0,20.0,39.0,1.0,123.0,17.0,339.0,5.0,1.0,2.0,11.0,0.0,2.0,4.0,10.0,2.0,1.0,11.0,116.0,2.0,6.0,3.0,7.0,0.0,724.0
University College London,3177.09,3.45,University College London,UCL,406.0,1.0,14.0,2.0,112.0,111.0,13.0,406.0,34.0,1088.0,31.0,6.0,7.0,18.0,29.0,26.0,20.0,46.0,11.0,0.0,61.0,368.0,9.0,32.0,32.0,9.0,3.0,2489.0
Institute of Zoology,24.2,3.4400000000000004,Institute of Zoology,,23.0,0.0,0.0,0.0,1.0,1.0,0.0,23.0,0.0,102.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,147.0
The University of Birmingham,1460.64,3.4400000000000004,University of Birmingham,,132.0,0.0,3.0,0.0,25.0,56.0,1.0,132.0,35.0,417.0,9.0,7.0,0.0,32.0,17.0,4.0,4.0,19.0,3.0,0.0,19.0,92.0,5.0,13.0,6.0,14.0,0.0,913.0
Courtauld Institute of Art,35.85,3.43,Courtauld Institute of Art,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
The University of Warwick,1252.4,3.415,University of Warwick,,107.0,0.0,5.0,0.0,6.0,37.0,1.0,107.0,7.0,174.0,8.0,10.0,0.0,33.0,7.0,0.0,0.0,8.0,0.0,1.0,8.0,103.0,5.0,4.0,6.0,9.0,2.0,541.0
University of Southampton,1312.51,3.4000000000000004,University of Southampton,,140.0,0.0,0.0,0.0,20.0,25.0,0.0,140.0,29.0,299.0,5.0,7.0,0.0,23.0,2.0,1.0,2.0,11.0,2.0,1.0,7.0,86.0,3.0,3.0,2.0,6.0,2.0,676.0
Liverpool School of Tropical Medicine,81.81,3.4,Liverpool School of Tropical Medicine,,6.0,0.0,0.0,0.0,11.0,0.0,0.0,6.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,1.0,0.0,0.0,60.0
London School of Hygiene and Tropical Medicine,451.14,3.3899999999999997,London School of Hygiene and Tropical Medicine,,6.0,0.0,0.0,0.0,22.0,1.0,0.0,6.0,0.0,115.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,169.0
The University of Sheffield,1518.12,3.3800000000000003,University of Sheffield,,145.0,0.0,1.0,0.0,15.0,29.0,1.0,145.0,44.0,326.0,13.0,11.0,0.0,31.0,3.0,2.0,4.0,7.0,2.0,1.0,12.0,126.0,7.0,5.0,2.0,12.0,0.0,799.0
The University of Lancaster,900.43,3.38,University of Lancaster,Lancaster,91.0,0.0,0.0,0.0,2.0,9.0,0.0,91.0,30.0,126.0,4.0,3.0,0.0,13.0,25.0,0.0,0.0,8.0,3.0,0.0,7.0,85.0,1.0,7.0,2.0,0.0,0.0,416.0
University of Edinburgh,2562.98,3.38,University of Edinburgh,,187.0,0.0,3.0,0.0,32.0,67.0,3.0,187.0,16.0,569.0,7.0,9.0,1.0,11.0,5.0,1.0,2.0,15.0,9.0,1.0,30.0,155.0,5.0,18.0,6.0,7.0,0.0,1159.0
Queen Mary University of London,1039.88,3.365,Queen Mary University of London,Queen Mary,107.0,1.0,1.0,0.0,29.0,26.0,0.0,107.0,13.0,319.0,9.0,3.0,1.0,13.0,2.0,6.0,1.0,10.0,3.0,0.0,16.0,99.0,0.0,15.0,1.0,4.0,2.0,681.0
University of Exeter,1250.81,3.365,University of Exeter,,87.0,0.0,5.0,1.0,19.0,28.0,2.0,87.0,10.0,268.0,6.0,3.0,1.0,6.0,3.0,2.0,2.0,4.0,1.0,0.0,10.0,56.0,2.0,11.0,2.0,2.0,1.0,532.0
The University of Bath,762.67,3.365,University of Bath,,70.0,0.0,4.0,0.0,7.0,9.0,0.0,70.0,17.0,140.0,3.0,4.0,0.0,27.0,0.0,1.0,0.0,8.0,1.0,0.0,7.0,81.0,0.0,2.0,2.0,9.0,0.0,392.0
The University of East Anglia,732.07,3.3600000000000003,University of East Anglia,UEA,42.0,0.0,1.0,0.0,7.0,18.0,0.0,42.0,12.0,119.0,1.0,3.0,0.0,6.0,6.0,5.0,0.0,3.0,4.0,1.0,3.0,47.0,1.0,4.0,0.0,1.0,0.0,284.0
University of Durham,1064.8,3.3600000000000003,University of Durham,Durham,519.0,0.0,5.0,0.0,5.0,43.0,0.0,519.0,25.0,788.0,4.0,4.0,0.0,3.0,4.0,6.0,5.0,20.0,0.0,1.0,18.0,150.0,0.0,27.0,4.0,5.0,0.0,1636.0
School of Oriental and African Studies,248.95,3.355,School of Oriental and African Studies,SOAS,1.0,0.0,0.0,0.0,0.0,36.0,0.0,1.0,1.0,10.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,43.0,0.0,0.0,0.0,123.0
Cardiff University / Prifysgol Caerdydd,1406.27,3.35,Cardiff University / Prifysgol Caerdydd,Cardiff University,141.0,0.0,2.0,0.0,17.0,24.0,0.0,141.0,22.0,285.0,4.0,7.0,4.0,30.0,2.0,3.0,4.0,2.0,2.0,0.0,12.0,129.0,2.0,7.0,3.0,2.0,0.0,704.0
"University of Nottingham, The",1717.69,3.3499999999999996,"University of Nottingham, The",University of Nottingham,174.0,0.0,2.0,0.0,13.0,40.0,0.0,174.0,55.0,389.0,12.0,6.0,2.0,44.0,6.0,0.0,9.0,13.0,5.0,0.0,16.0,84.0,7.0,13.0,3.0,6.0,3.0,902.0
The University of Liverpool,1224.76,3.3300000000000005,University of Liverpool,,105.0,0.0,1.0,0.0,14.0,18.0,0.0,105.0,19.0,223.0,11.0,5.0,2.0,19.0,8.0,5.0,2.0,5.0,3.0,0.0,20.0,100.0,2.0,5.0,4.0,5.0,0.0,576.0
University of Newcastle upon Tyne,1371.35,3.33,University of Newcastle upon Tyne,University of Newcastle,64.0,0.0,2.0,4.0,33.0,30.0,0.0,64.0,16.0,229.0,12.0,3.0,1.0,13.0,1.0,3.0,1.0,11.0,3.0,1.0,12.0,62.0,2.0,1.0,1.0,0.0,2.0,507.0
University of Sussex,829.65,3.33,University of Sussex,,83.0,0.0,2.0,0.0,1.0,16.0,0.0,83.0,25.0,124.0,5.0,5.0,0.0,7.0,4.0,0.0,0.0,5.0,0.0,0.0,10.0,65.0,0.0,7.0,3.0,0.0,1.0,363.0
The Royal Veterinary College,159.75,3.3000000000000003,Royal Veterinary College,,6.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,100.0
