"Institution name","FTE of submitted staff","GPA","search_name","alt_name"
"The Royal Central School of Speech and Drama",30.5,3.67,"Royal Central School of Speech and Drama",
"Imperial College of Science, Technology and Medicine",1549.86,3.66,"Imperial College of Science, Technology and Medicine","Imperial College"
"Institute of Cancer Research: Royal Cancer Hospital (The)",102.4,3.63,"Institute of Cancer Research: Royal Cancer Hospital (The)",
"London Business School",106.45,3.62,"London Business School",
"University of Cambridge",2846.87,3.54,"University of Cambridge",
"University of Oxford",3404.62,3.5,"University of Oxford",
"The London School of Economics and Political Science",650.56,3.48,"London School of Economics and Political Science","LSE"
"The University of Manchester",2123.84,3.48,"University of Manchester",
"University of York",945.99,3.48,"University of York",
"King's College London",1883.12,3.46,"King's College London","KCL"
"University of Glasgow",1377.69,3.455,"University of Glasgow",
"University of Bristol",1493.85,3.45,"University of Bristol",
"University College London",3177.09,3.45,"University College London","UCL"
"Institute of Zoology",24.2,3.44,"Institute of Zoology",
"The University of Birmingham",1460.64,3.44,"University of Birmingham",
"Courtauld Institute of Art",35.85,3.43,"Courtauld Institute of Art",
"The University of Warwick",1252.4,3.415,"University of Warwick",
"University of Southampton",1312.51,3.4,"University of Southampton",
"Liverpool School of Tropical Medicine",81.81,3.4,"Liverpool School of Tropical Medicine",
"London School of Hygiene and Tropical Medicine",451.14,3.39,"London School of Hygiene and Tropical Medicine",
"The University of Sheffield",1518.12,3.38,"University of Sheffield",
"The University of Lancaster",900.43,3.38,"University of Lancaster",
"University of Edinburgh",2562.98,3.38,"University of Edinburgh",
"Queen Mary University of London",1039.88,3.365,"Queen Mary University of London","Queen Mary"
"University of Exeter",1250.81,3.365,"University of Exeter",
"The University of Bath",762.67,3.365,"University of Bath",
"The University of East Anglia",732.07,3.36,"University of East Anglia","UEA"
"University of Durham",1064.8,3.36,"University of Durham",
"School of Oriental and African Studies",248.95,3.355,"School of Oriental and African Studies","SOAS"
"Cardiff University / Prifysgol Caerdydd",1406.27,3.35,"Cardiff University / Prifysgol Caerdydd","Cardiff University"
"University of Nottingham, The",1717.69,3.35,"University of Nottingham, The","University of Nottingham"
"The University of Liverpool",1224.76,3.33,"University of Liverpool",
"University of Newcastle upon Tyne",1371.35,3.33,"University of Newcastle upon Tyne",
"University of Sussex",829.65,3.33,"University of Sussex",
"The Royal Veterinary College",159.75,3.3,"Royal Veterinary College",
"The University of Leeds",1685.97,3.295,"University of Leeds",
"The University of Leicester",717.66,3.295,"University of Leicester",
"Guildhall School of Music & Drama",18.99,3.28,"Guildhall School of Music & Drama",
"University of St Andrews",664.03,3.27,"University of St Andrews",
"Royal Holloway and Bedford New College",531.2,3.26,"Royal Holloway and Bedford New College",
"Loughborough University",898.09,3.26,"Loughborough University",
"University of Strathclyde",732.45,3.245,"University of Strathclyde",
"The University of Surrey",611.47,3.24,"University of Surrey",
"The University of Kent",724.95,3.24,"University of Kent",
"The University of Reading",699.75,3.23,"University of Reading",
"The University of Essex",701.82,3.23,"University of Essex",
"Glasgow School of Art",49.4,3.23,"Glasgow School of Art",
"SRUC",104.99,3.22,"SRUC",
"Queen's University of Belfast",963.86,3.19,"Queen's University of Belfast",
"Cranfield University",348.05,3.19,"Cranfield University",
"Swansea University / Prifysgol Abertawe",577.65,3.18,"Swansea University / Prifysgol Abertawe",
"University of the Arts, London",191.5,3.18,"University of the Arts, London",
"Falmouth University",64.3,3.17,"Falmouth University",
"St. George's Hospital Medical School",108.07,3.165,"St. George's Hospital Medical School",
